Fecha,Nombre,Estado de la partición,Versión de SO,Procesador asignado,Memoria asignada (GB),Memoria usada (%),Procesadores usados (%)
24/09/2024,SRVWCAAPBTT01,running,AIX 7.2 7200-05-08-2419,2,12288,67%,72%
24/09/2024,SRVWCAAPESB01,running,AIX 7.2 7200-05-08-2419,1,30720,83%,68%
24/09/2024,SRVWCADB01,running,AIX 7.2 7200-05-08-2419,1,30720,76%,64%
24/09/2024,SRVWCADBBTT01,running,AIX 7.2 7200-05-08-2419,1,32768,81%,79%
24/09/2024,SRVWPRAPBTT01,running,AIX 7.2 7200-04-02-2015,25,32768,85%,81%
24/09/2024,SRVWPRAPBTT02,running,AIX 7.2 7200-04-02-2015,25,32768,72%,75%
24/09/2024,SRVWPRAPBTT03,running,AIX 7.2 7200-04-02-2015,25,32768,77%,70%
24/09/2024,SRVWPRAPBTT05,running,AIX 7.2 7200-04-02-2015,1,24576,64%,69%
24/09/2024,SRVWPRAPESB01,not activated,Desconocido,1,92160,-,-
24/09/2024,SRVWPRAPESB03,running,AIX 7.2 7200-05-05-2245,2,92160,80%,75%
24/09/2024,SRVWPRDBBTT01,running,AIX 7.2 7200-05-05-2245,6,466944,88%,84%
24/09/2024,SRVWPRDBSB01,running,AIX 7.2 7200-05-08-2419,1,46080,70%,71%
24/09/2024,SRVWPUDBBTT05,running,AIX 7.2 7200-05-08-2419,6,24576,66%,65%
24/09/2024,SRVWPUDBP01,running,AIX 7.2 7200-05-08-2419,2,51200,84%,74%
24/09/2024,SRVWPYAPESB01,running,AIX 7.2 7200-05-08-2419,1,30720,71%,63%
24/09/2024,SRVWWBDBP01_NEW,running,AIX 7.2 7200-05-08-2419,1,153600,79%,73%
24/09/2024,SRVWWBREP01,running,AIX 6.1 6100-09-08-1642,1,20480,82%,66%
24/09/2024,SRVWBACKUPAIX01,running,AIX 7.2 7200-05-08-2419,5,32768,78%,60%
24/09/2024,SRVWDEAPBTT01,running,AIX 7.2 7200-05-08-2419,1,24576,60%,68%
24/09/2024,SRVWDEAPESB02,running,AIX 7.2 7200-05-08-2419,1,30720,65%,66%
24/09/2024,SRVWNOAPBTT01,running,AIX 7.2 7200-05-08-2419,1,18432,74%,67%
24/09/2024,SRVWNODBBTT01,running,AIX 7.2 7200-05-08-2419,2,58368,82%,72%
24/09/2024,SRVWPRAPBTT04,running,AIX 7.2 7200-04-02-2015,25,32768,79%,68%
24/09/2024,SRVWPRAPESB02,not activated,Desconocido,1,92160,-,-
24/09/2024,SRVWPRAPESB04,running,AIX 7.2 7200-05-08-2419,2,92160,85%,76%
24/09/2024,SRVWPRDBBTT05,running,AIX 7.2 7200-05-05-2245,1,102400,81%,78%
24/09/2024,SRVWPRDBSB02,running,AIX 7.2 7200-05-08-2419,1,46080,68%,64%
24/09/2024,SRVWPUAPAIX01,not activated,Desconocido,1,12288,-,-
24/09/2024,SRVWPUAPBTT02,running,AIX 7.2 7200-05-08-2419,4,40960,87%,77%
24/09/2024,SRVWPUAPBTT05,running,AIX 7.2 7200-05-08-2419,1,24576,67%,63%
24/09/2024,SRVWPUAPESB02,not activated,Desconocido,1,12288,-,-
24/09/2024,SRVWPUAPESB03,running,AIX 7.2 7200-05-08-2419,5,30720,79%,73%
24/09/2024,SRVWPUDBBTT01,running,AIX 7.2 7200-05-08-2419,3,20480,83%,70%
24/09/2024,SRVWPUDBBTT02,running,AIX 7.2 7200-05-08-2419,9,51200,86%,83%
24/09/2024,SRVWPUDBBTT03,running,AIX 7.2 7200-05-08-2419,2,61440,74%,69%
24/09/2024,SRVWPUDBBTT04,running,AIX 7.2 7200-05-08-2419,1,10240,61%,65%
